DEPARTAMENTO,MES,Numero Eventos Reportados,SISTEMAS AFECTADOS,SEXO FEMENINO,SEXO MASCULINO,SEXO SIN ESPECIFICAR,CASOS NO SERIOS,CASOS SERIOS,EVENTO CLASIFICADO COMO FALLO TERAPEUTICO (FT),EVENTO CLASIFICADO COMO REACCION ADVERSA A MEDICAMENTO (RAM),EVENTO CLASIFICADO COMO PROBLEMA DE CALIDAD (PC),EVENTO CLASIFICADO COMO ERROR DE MEDICACIÓN (EM),EVENTO CLASIFICADO COMO EVENTO SUPUESTAMENTE ATRIBUIBLE A LA VACUNACIÓN (ESAVI)
CASANARE,ABRIL DE 2020,24,TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS VOCABLOS SECUNDARIOS EVENTOS,18,6,0,19,5,0,22,1,1,0
CAUCA,ABRIL DE 2020,111,TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION VARONES TRASTORNOS DE LA VISION TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,86,24,1,84,27,6,100,0,5,0
CESAR,ABRIL DE 2020,72,TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS,44,27,1,56,16,0,69,0,3,0
CHOCÓ,ABRIL DE 2020,10,TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y DE LA REPRODUCCION MUJERES TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS ENDOCRINOS TRASTORNOS GENERALES DE TODO EL ORGANISMO,8,2,0,7,3,0,9,0,1,0
CÓRDOBA,ABRIL DE 2020,81,NEOPLASMAS TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA VISION TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DE OTROS SENTIDOS ESPECIALES TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,50,30,1,63,18,4,71,0,6,0
CUNDINAMARCA,ABRIL DE 2020,202,TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS ESPECIFICOS A VENENOS VOCABLOS SECUNDARIOS EVENTOS,116,84,2,168,34,1,188,0,13,0
GUAVIARE,ABRIL DE 2020,3,TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS GENERALES DE TODO EL ORGANISMO,1,2,0,3,0,0,2,0,1,0
HUILA,ABRIL DE 2020,158,NEOPLASMAS TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DEL COLAGENO TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS ENDOCRINOS TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS VOCABLOS SECUNDARIOS EVENTOS,111,47,0,126,32,2,151,0,5,0
LA GUAJIRA,ABRIL DE 2020,25,TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA VISION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS GENERALES DE TODO EL ORGANISMO VOCABLOS SECUNDARIOS EVENTOS,12,12,1,21,4,2,21,0,2,0
MAGDALENA,ABRIL DE 2020,84,TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA VISION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,39,45,0,71,13,0,74,0,10,0
META,ABRIL DE 2020,90,NEOPLASMAS TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS NEONATALES Y EN LA PRIMERA INFANCIA TRASTORNOS PSIQUIATRICOS VOCABLOS SECUNDARIOS EVENTOS,44,46,0,85,5,1,84,0,5,0
NARIÑO,ABRIL DE 2020,152,TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS ENDOCRINOS TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,103,49,0,117,35,5,146,1,0,0
CESAR,SEPTIEMBRE DE 2021,61,TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LA VISION;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS EN EL PUNTO DE APLICACION;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS PSIQUIATRICOS;TRASTORNOS MIO-  ENDO-  PERICARDICOS Y VALVULARES;VOCABLOS SECUNDARIOS  EVENTOS,37,24,0,49,12,0,61,0,0,0
NORTE DE SANTANDER,ABRIL DE 2020,136,TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION VARONES TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS ENDOCRINOS TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,85,51,0,113,23,2,121,1,12,0
PUTUMAYO,ABRIL DE 2020,3,TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS VASCULARES EXTRACARDIACOS,2,1,0,2,1,0,2,0,1,0
QUINDIO,ABRIL DE 2020,83,TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,54,29,0,66,17,1,79,0,3,0
RISARALDA,ABRIL DE 2020,188,NEOPLASMAS TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,125,59,4,158,30,4,170,0,14,0
SANTANDER,ABRIL DE 2020,384,NEOPLASMAS TRASTORNOS AUDITIVOS Y VESTIBULARES TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS ENDOCRINOS TRASTORNOS FETALES TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,215,169,0,310,74,3,343,1,37,0
SIN INFORMACIÓN,ABRIL DE 2020,2379,TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS VOCABLOS SECUNDARIOS,1229,1016,134,2006,373,38,2143,12,182,4
SUCRE,ABRIL DE 2020,42,TRASTORNOS CARDIOVASCULARES GENERALESTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS PSIQUIATRICOSVOCABLOS SECUNDARIOS EVENTOS,20,22,0,33,9,0,39,0,3,0
